name,n_points,r_max,v_max,slope_full,slope_err,alpha_full,r2_full,slope_inner,alpha_inner,slope_outer,alpha_outer,struct_proxy,bar_ratio
NGC3521,41,17.74,220.0,0.030646295214272687,0.003441150689827259,1.9387074095714547,0.20688359906003695,0.13104649056322765,1.7379070188735448,-0.05092940582376014,2.1018588116475203,1.0922166591669018,1.2115545347578094
UGCA444,36,2.62,38.3,0.52087692229206,0.005500195325029992,0.9582461554158801,0.9756793777798316,0.6158311109501179,0.7683377780997642,0.4368733488772185,1.126253302245563,0.5172668793494779,0.495216348689096
UGC07323,10,5.82,85.6,0.5768129618613492,0.010103571281436463,0.8463740762773015,0.9955304896372212,0.5478662689359832,0.9042674621280336,0.38539209649960027,1.2292158070007995,0.5452231673668263,0.8683718630162637
UGC00191,9,9.98,83.85,0.38494973420697043,0.052109695936121886,1.2301005315860591,0.8600220342920262,0.7110516300900389,0.5778967398199222,0.13257166572520834,1.7348566685495834,0.8615742113414978,0.6376120309647386
UGC02487,17,80.38,383.0,-0.06923744840084145,0.007591664231980119,2.138474896801683,0.6196301229273682,-0.0028656067960406623,2.0057312135920813,-0.07638020009574867,2.1527604001914975,1.9094902129168942,0.7127203570322058
NGC0891,18,17.11,234.0,-0.023229827494535248,0.006414615993988238,2.0464596549890706,-0.1904088916817155,0.03289926231689834,1.9342014753662033,-0.1560050354292943,2.3120100708585887,1.2691377818160607,1.2255570149906803
UGCA281,7,1.08,29.5,0.5144794764578682,0.054509557260941435,0.9710410470842636,0.9485265993876658,0.7037708480576681,0.5924583038846638,0.21668892945864976,1.5666221410827004,0.591743742013061,0.7224188690867366
UGC07151,11,5.5,76.2,0.20735982666451366,0.011955042699699792,1.5852803466709726,0.5850202350745628,0.49544414089237804,1.009111718215244,0.2058629492843093,1.5882741014313815,0.7311754998838048,0.7741666113799084
UGC04305,22,5.52,37.3,0.13646933013622647,0.02448616422350532,1.727061339727547,0.22331785250670322,0.7113647072146586,0.5772705855706828,0.13646933013622647,1.727061339727547,0.7676746010343869,1.0934029795203783
UGC11820,10,15.82,84.45,0.3748120030873893,0.018407947407503247,1.2503759938252212,0.9331381801029723,0.9006894925371023,0.19862101492579542,0.3167249145187848,1.3665501709624304,0.9082447515309333,0.5412857223779355
NGC2841,50,63.64,323.0,-0.04117531511385283,0.0021797217119585758,2.0823506302277055,0.5104077258217024,0.0682991716200703,1.8634016567598595,-0.05520204727251354,2.110404094545027,2.1455850144183444,0.7557414748901895
NGC4217,19,16.72,191.0,0.07866583505193332,0.015551798244338352,1.8426683298961333,0.19425196442017234,0.2599523943016187,1.4800952113967627,-0.1505899280153507,2.3011798560307013,1.140994245672094,1.2290207023782895
D631-7,16,7.19,58.5,0.56141863649254,0.011023655808080632,0.87716272701492,0.9234937223458273,0.6168200960498584,0.7663598079002831,0.274494768047964,1.451010463904072,1.6369195104908179,0.5499282814915222
NGC2955,24,35.43,276.0,0.03662340929919837,0.006834944201172404,1.9267531814016032,0.25655266515589004,0.10883709004764482,1.7823258199047103,-0.07210738561760062,2.1442147712352013,0.8293539362761984,1.1229029462501547
DDO154,12,5.92,48.2,0.4204845650474335,0.02609055108591755,1.159030869905133,0.9123502133237953,0.6188361383599086,0.7623277232801828,0.07378544811499341,1.8524291037700131,1.9637765582507252,0.46032335888327675
NGC3877,13,11.35,171.0,0.22140335027424285,0.024990624746600635,1.5571932994515143,0.486735359648256,0.5607461150469685,0.878507769906063,0.05845896601766973,1.8830820679646605,0.5529235509449277,1.1486193338503872
NGC3769,12,37.16,126.0,0.014534946974776006,0.013602812558122764,1.970930106050448,0.11023610103163506,0.18975820560842752,1.620483588783145,-0.018670000439478664,2.0373400008789573,1.5669113434959212,0.8178662900450432
NGC3893,10,19.05,194.0,-0.04004019410204108,0.02189492283925714,2.0800803882040824,-0.6841595542175447,0.14048004743971804,1.7190399051205638,-0.2156798561279697,2.431359712255939,1.5046127008744723,0.9649763109585644
F563-1,17,20.1,112.5,0.24041583554377,0.016393103242464242,1.51916832891246,0.59913582161082,0.6083759111861564,0.7832481776276872,0.16619400841127424,1.6676119831774514,0.9688125209404371,0.3918971727013096
UGC05716,12,12.37,74.7,0.2588351695995784,0.009128815558927096,1.4823296608008432,0.9661951741479712,0.3035515115989237,1.3928969768021526,0.04010078495864224,1.9197984300827156,1.7648547850559715,0.47417542815050334
NGC6015,44,29.23,166.0,0.07769333967874452,0.004138742431400638,1.844613320642511,0.34411809832395157,0.2527476909546925,1.494504618090615,-0.022112934023813667,2.0442258680476275,1.5260517677134542,0.7652107590981289
UGC05005,11,28.61,100.0,0.4768733303989053,0.02376365583416701,1.0462533392021895,0.9312790152714877,0.638995439009857,0.722009121980286,0.26002030998868536,1.4799593800226294,1.0559652490143259,0.6153152203774909
NGC6946,58,20.4,181.0,-0.02937791522787071,0.004149422032347392,2.0587558304557416,-0.6020201577970006,0.13365243786616451,1.732695124267671,-0.2101697032561316,2.420339406512263,1.0886774394215506,1.0576437539261168
NGC3741,21,7.0,51.6,0.39985154368978265,0.005477591108637817,1.2002969126204346,0.9811338885668313,0.39836933300352606,1.2032613339929479,0.33907724381446896,1.3218455123710622,1.9314462038491607,0.37610818161898424
UGC04483,8,1.21,24.3,0.4920345837736901,0.046037099310632996,1.0159308324526197,0.931173895043832,0.7362911176223326,0.5274177647553349,0.3292665249939023,1.3414669500121954,1.0225071711935565,0.6613793834790473
NGC5985,33,34.72,305.0,0.0263498557076104,0.005361350270960993,1.9473002885847792,0.2171949196008076,0.19222696645422055,1.615546067091559,0.0,2.0,0.9381333228084171,0.7221173693429227
UGC11455,36,41.93,291.0,0.2939404356376316,0.01304734558998076,1.4121191287247368,0.6971300042087856,0.5932151848545237,0.8135696302909525,-0.033686297831771336,2.0673725956635427,0.9860837863909945,1.1010536295746352
UGC03580,47,27.06,131.0,0.18635633671065213,0.002231483929984035,1.6272873265786958,0.9067861010881458,0.15592015928719277,1.6881596814256143,0.15498344377127105,1.690033112457458,1.043756388446756,1.0930737432380662
NGC4214,14,5.63,80.6,0.10508597567068309,0.00957730300576916,1.7898280486586338,0.9204608627527976,0.16242230043270908,1.6751553991345818,0.012242979314915354,1.9755140413701693,1.6053293789815926,0.5946221364543254
UGC05750,11,22.85,78.9,0.7474655790357375,0.035817845549705206,0.505068841928525,0.9093159097610471,0.9981567835512966,0.0036864328974068883,0.4115475935984689,1.1769048128030621,0.36256997339941116,0.6493303209667297
NGC3992,9,46.02,272.0,-0.08618368435266595,0.018274771188980424,2.172367368705332,0.13202504119657432,0.05421143514679475,1.8915771297064106,-0.14414188340003692,2.288283766800074,2.123082458791903,0.8139001500119792
NGC3726,12,32.52,169.0,0.1065165400512508,0.023318924765099024,1.7869669198974985,0.5301261919734255,0.3745816199758452,1.2508367600483097,0.10895817971957064,1.7820836405608587,1.8587248565852368,0.9902071898861632
UGC12732,16,15.4,98.0,0.2916932872026683,0.006541148926368619,1.4166134255946634,0.9466765854085304,0.303716595826951,1.392566808346098,0.34200972542609676,1.3159805491478065,1.3029394445515872,0.5096337068446377
UGC00128,22,53.75,134.0,0.11137715225141173,0.008667390422911626,1.7772456954971765,0.4698816113160582,0.22701650058299389,1.5459669988340123,0.0,2.0,1.3044481367319636,0.47051561508436235
NGC2366,26,6.06,53.7,0.42579426164244155,0.02142453393832801,1.148411476715117,0.8175697268550115,0.7771028618362891,0.44579427632742186,-0.10117274800570238,2.2023454960114046,1.245991346060164,0.6563913406821513
UGC09133,68,108.31,289.0,-0.05810350548656074,0.0016025642325122168,2.1162070109731217,0.68210368893287,0.020594932266358505,1.9588101354672829,-0.1225716442959012,2.2451432885918026,1.2591559687215097,0.9497988798468973
UGC06973,9,7.85,180.0,0.048570262088570626,0.010589379219019332,1.9028594758228587,0.29051619215929037,0.0,2.0,0.13575589240880456,1.7284882151823908,2.1848198590147274,1.3748741487356053
NGC5055,28,54.59,206.0,-0.03039372431319879,0.004902792065030996,2.0607874486263977,-0.2817860571933335,0.10187519140999009,1.7962496171800197,-0.124823260290211,2.249646520580422,1.695399092267324,1.09982448288594
F583-1,25,16.26,86.9,0.5579785700048272,0.015003838952216016,0.8840428599903456,0.8720130012734988,0.8335565630986811,0.3328868738026378,0.3226601830325061,1.3546796339349878,0.5744085340974632,0.4614388094622
D564-8,6,3.07,25.0,0.5035391811984151,0.058621348631400935,0.9929216376031698,0.9316970990795544,0.7654392168865073,0.4691215662269854,0.3239055504143621,1.3521888991712758,1.0170790547322823,0.5317699966449791
NGC2998,13,42.28,214.0,0.0751346727217716,0.013193595928381775,1.8497306545564567,0.5139454033438213,0.24607825006925982,1.5078434998614805,-0.004930587812513021,2.009861175625026,0.894327687076477,0.8565853826374376
NGC4100,24,22.76,195.0,-0.10301641444081994,0.01250692342774203,2.2060328288816398,-0.7823310450656591,0.12482827520539931,1.7503434495892014,-0.27884908135300207,2.557698162706004,2.065224810429037,0.8710016841731685
UGC06923,6,5.16,81.1,0.4052395914639753,0.049817665718116994,1.1895208170720495,0.9455146519375359,0.5228205697157522,0.9543588605684956,0.10347707136604609,1.7930458572679078,0.9179517641248172,0.8654344456665344
UGC07866,7,2.32,33.1,0.43393574038663985,0.024724165067921754,1.1321285192267203,0.9637666610158426,0.5224499348452047,0.9551001303095905,0.44344419328864604,1.113111613422708,0.799179753999876,0.7172249772644923
NGC6195,23,36.43,258.0,0.03142438613270817,0.003710387360333084,1.9371512277345837,0.298677227981769,0.03328736569834294,1.9334252686033142,0.04303000309225652,1.9139399938154869,0.6951825883568715,1.1558619208545786
NGC7331,36,36.31,257.0,-0.025308663039666484,0.001988506918171567,2.050617326079333,0.1488611133385589,-0.03915060500802339,2.078301210016047,0.015335846438894409,1.9693283071222112,1.5252582898596503,1.1384116589241395
UGC06786,45,34.05,229.0,0.06408022698750358,0.0014988666443687016,1.8718395460249928,0.754498786643149,0.11518909258175722,1.7696218148364855,0.0,2.0,0.8190639702878836,0.8493950192514763
NGC4138,7,18.58,195.0,-0.1843245812142948,0.03465109800985535,2.3686491624285897,0.5505939280290674,-0.12764400883133034,2.255288017662661,-0.02977899636006373,2.0595579927201273,2.4157237677803365,0.9280165358678203
NGC0801,13,59.82,238.0,-0.003548270529235898,0.006745858342892251,2.007096541058472,-0.18502302473275245,0.24952426532143376,1.5009514693571324,-0.03438163666052145,2.068763273321043,0.9615833673506693,1.0767918402758925
NGC0100,21,9.62,91.2,0.39081528964268475,0.015539212380674005,1.2183694207146305,0.7840476755192893,0.6485481221184078,0.7029037557631843,0.28779907806593313,1.4244018438681336,0.8166831055552524,0.690005177653346
F568-1,12,13.23,142.0,0.38248924100437465,0.02941242296822994,1.2350215179912507,0.7609583145644855,0.7814141256567295,0.43717174868654096,0.23104132656800594,1.5379173468639882,0.4926822544884281,0.4572629146963772
IC2574,34,10.23,67.5,0.7103974012843994,0.005982851816098852,0.5792051974312011,0.9847067829660056,0.7604057748772746,0.47918845024545087,0.6701654577567443,0.6596690844865114,0.6857562920838683,0.6195695600541344
UGC07125,13,18.68,65.6,0.2510968930801464,0.011826393125132915,1.4978062138397072,0.8408570229018563,0.2951701765598942,1.4096596468802116,0.016267541550267935,1.9674649168994642,1.001939912204216,0.7712482167194206
