z,alpha,mu,g_normalized,warp_factor
2.012004008016032,31325780983.748,0.49701690255879044,15662890491.874,0.2470258014291342
2.032024048096192,32800362704.874138,0.49212016016094995,16400181352.437069,0.24218225203683902
2.052044088176353,34328871783.77424,0.48731896442278577,17164435891.88712,0.23747977308609636
2.072064128256513,35912725308.71792,0.4826105458625092,17956362654.35896,0.23291293897770907
2.0920841683366733,37553363303.652084,0.4779922410077111,18776681651.826042,0.22847658246357377
2.1121042084168336,39252248872.53408,0.47346148737119764,19626124436.26704,0.22416578002374674
2.132124248496994,41010868344.94952,0.4690158187098776,20505434172.47476,0.21997583820009675
2.1521442885771545,42830731423.80877,0.4646528605482717,21415365711.904385,0.21590228081569163
2.1721643286573147,44713371318.10154,0.46037032594957145,22356685659.05077,0.21194083701491465
2.192184368737475,46660344888.39975,0.45616601151842034,23330172444.199875,0.2080874300646236
2.212204408817635,48673232788.608284,0.4520377936207412,24336616394.304142,0.20433816686150783
2.2322244488977954,50753639606.79427,0.44798362480698106,25376819803.397137,0.20068932809520199
2.252244488977956,52903194005.46511,0.4440015304261169,26451597002.732555,0.197137359020734
2.2722645290581163,55123548864.08162,0.4400896054186584,27561774432.04081,0.19367886079755042
2.2922845691382765,57416381440.54334,0.4362460112777025,28708190720.27167,0.19031058235570536
2.3123046092184367,59783393480.72413,0.43246897316785693,29891696740.362064,0.18702941275286056
2.332324649298597,62226311362.256294,0.42875677719254535,31113155681.128147,0.18383237398853797
2.3523446893787576,64746886236.680534,0.4251077678008553,32373443118.340267,0.1807166142446259
2.372364729458918,67346894167.264336,0.4215203453256857,33673447083.632168,0.17767940152348533
2.392384769539078,70028136266.31825,0.41799296364550176,35014068133.15913,0.17471811765714976
2.4124048096192383,72792438832.42842,0.4145241279625184,36396219416.21421,0.17183025266308635
2.432424849699399,75641653505.72876,0.4111123926906029,37820826752.86438,0.16901339942379248
2.452444889779559,78577657388.2282,0.407756359446628,39288828694.1141,0.16626524866916773
2.4724649298597194,81602353173.1523,0.40445467513941125,40801176586.57615,0.16358358424212668
2.4924849699398797,84717669287.31519,0.4012060301507538,42358834643.65759,0.16096627862932755
2.51250501002004,87925560026.16917,0.39800915660344255,43962780013.08459,0.15841128874018365
2.5325250501002006,91228005688.39543,0.39486282671140194,45614002844.197716,0.15591665191851864
2.552545090180361,94627012710.03525,0.3917658512074867,47313506355.017624,0.1534804821723266
2.572565130260521,98124613809.38164,0.38871707784468457,49062306904.69082,0.15110096660811057
2.5925851703406813,101722868121.92766,0.385715389966762,50861434060.96383,0.14877636205721131
2.6126052104208415,105423861314.44019,0.382759705144628,52711930657.22009,0.14650499188240254
2.632625250501002,109229705727.73837,0.37984897387491623,54614852863.86919,0.1442852429538268
2.6526452905811624,113142540509.24982,0.37698217833750103,56571270254.62491,0.14211556278408743
2.6726653306613226,117164531745.09503,0.37415833120885383,58582265872.547516,0.13999445681299436
2.692685370741483,121297872591.75133,0.371376474528337,60648936295.87566,0.13792048583309655
2.712705410821643,125544783411.96674,0.3686356786146982,62772391705.98337,0.13589226354771905
2.7327254509018037,129907511916.63252,0.3659350410301915,64953755958.31626,0.13390845425376793
2.752745490981964,134388333274.20865,0.36327368558990114,67194166637.104324,0.13196777064207035
2.772765531062124,138989550248.91785,0.3606507614139823,69494775124.45892,0.13006897170848516
2.7927855711422844,143713493331.73737,0.3580654420206659,71856746665.86868,0.12821086076945487
2.812805611222445,148562520870.1198,0.355516924457997,74281260435.0599,0.12639228357607313
2.8328256513026053,153539019197.32584,0.3530044284723892,76769509598.66292,0.12461212652111815
2.8528456913827656,158645402762.92056,0.3505271957121884,79322701381.46028,0.12286931493385081
2.872865731462926,163884114274.6616,0.34808448896453587,81942057137.3308,0.1211628114577021
2.892885771543086,169257624809.62515,0.34567559142392024,84628812404.81258,0.11949161450627704
2.9129058116232467,174768433945.0668,0.34329980599089116,87384216972.5334,0.11785475679338352
2.932925851703407,180419069888.67413,0.34095645459949575,90209534944.33707,0.116251303933058
2.952945891783567,186212089606.0815,0.3386448775720723,93106044803.04076,0.11468035310580382
2.9729659318637274,192150078948.02502,0.3363644330001146,96075039474.01251,0.11314103178748858
2.9929859719438876,198235652777.34836,0.3341144961499833,99117826388.67418,0.11163249653755719
3.0130060120240483,204471455106.35168,0.33189445889231056,102235727553.17584,0.11015393184341962
3.0330260521042085,210860159214.31958,0.3297037291540027,105430079607.15979,0.10870454901805597
3.0530460921843687,217404467769.34604,0.3275417303918029,108702233884.67302,0.1072835851480565
3.073066132264529,224107112958.2308,0.325407901086432,112053556479.1154,0.10589030208947713
3.093086172344689,230970856611.92145,0.32330169425637373,115485428305.96072,0.10452398550904175
3.11310621242485,237998490330.6226,0.3212225769904212,118999245165.3113,0.1031839439683671
3.13312625250501,245192835608.57123,0.3191700299981451,122596417804.28561,0.10186950804901683
3.1531462925851703,252556743969.3719,0.317143547177486,126278371984.68594,0.10058002951631828
3.1731663326653305,260093097089.5832,0.3151426351987167,130046548544.7916,0.09931488051999145
3.193186372745491,267804806902.6154,0.3131668131040542,133902403451.3077,0.09807345282974961
3.2132064128256514,275694815733.73535,0.31121561192223973,137847407866.86768,0.09685515710413413
3.2332264529058117,283766096423.4678,0.30928857429743767,141883048211.7339,0.09565942219094162
3.253246492985972,292021652450.5895,0.30738525413183687,146010826225.29474,0.09448569445769393
3.273266533066132,300464518054.80084,0.3055052162413675,150232259027.40042,0.09333343715068472
3.293286573146293,309097758359.0727,0.3036480360239754,154548879179.53635,0.09220212978121746
3.313306613226453,317924469491.66833,0.30181329913992283,158962234745.83417,0.09109126753772455
3.3333266533066133,326947778707.84283,0.3000006012036096,163473889353.92142,0.0900003607225272
3.3533466933867735,336170844512.5029,0.29820954748643413,168085422256.25146,0.08892893421206381
3.3733667334669337,345596856836.4386,0.2964397526302345,172798428418.2193,0.0878765269394746
3.3933867735470944,355229037099.2692,0.2946908403708734,177614518549.6346,0.08684269139849159
3.4134068136272546,365070638314.8523,0.2929624432715509,182535319157.42615,0.08582699316763669
3.433426853707415,375124945234.8436,0.2912542024654464,187562472617.4218,0.08482901045378326
3.453446893787575,385395274469.1402,0.2895657674073128,192697637234.5701,0.083848333654186
3.4734669338677353,395884974606.0285,0.28789679563366144,197942487303.01425,0.08288456493613022
3.493486973947896,406597426332.03735,0.2862469525311917,203298713166.01868,0.08193731783339432
3.513507014028056,417536042551.49384,0.2846159111131391,208768021275.74692,0.0810062168587623
3.5335270541082164,428704268505.786,0.2830033518032248,214352134252.893,0.08009089713185981
3.5535470941883767,440105581892.3277,0.28140896222690925,220052790946.16385,0.07919100402162604
3.5735671342685373,451743492990.4588,0.2798324370096623,225871746495.2294,0.07830619280276663
3.5935871743486976,463621544829.3531,0.27827347758197635,231810772414.67654,0.07743612832556669
3.613607214428858,475743313226.6404,0.2767317919908606,237871656613.3202,0.07658048469847295
3.633627254509018,488112406925.22485,0.27520709471756805,244056203462.61243,0.07573894498288447
3.6536472945891783,500732467721.02875,0.2736991065013136,250366233860.51437,0.07491120089961742
3.673667334669339,513607170580.8103,0.27220755416875775,256803585290.40515,0.07409695254653718
3.693687374749499,526740223759.7111,0.270732170469034,263370111879.85556,0.07329590812687407
3.7137074148296594,540135368918.53546,0.26927269391411335,270067684459.26773,0.07250778368776377
3.7337274549098196,553796381240.7577,0.2678288686243043,276898190620.37885,0.07173230286857483
3.75374749498998,567727069549.2603,0.2664004441786965,283863534774.6301,0.07096919665860679
