Grad_Alpha,Ideal_FA_Pa,Robust_Mean_FA_Pa,Robust_Std_FA_Pa
394.420605943766,3.1553648475501286e-07,3.173154051336694e-07,2.4928153832285908e-08
432.87612810830615,3.4630090248664495e-07,3.463671072966039e-07,2.715296449574534e-08
475.0810162102798,3.800648129682239e-07,3.7834843603321046e-07,3.0310434101953694e-08
521.400828799969,4.171206630399752e-07,4.167477677858431e-07,3.399180732644549e-08
572.236765935022,4.5778941274801766e-07,4.569529661518215e-07,3.6321928837530405e-08
628.029144183426,5.024233153467408e-07,5.005004592413734e-07,4.054065043474421e-08
689.2612104349702,5.514089683479762e-07,5.523173495474036e-07,4.42342280680861e-08
756.463327554629,6.051706620437033e-07,6.055862968208927e-07,4.8157848416290824e-08
830.2175681319752,6.641740545055802e-07,6.627014371539475e-07,5.4511282418880174e-08
911.1627561154896,7.289302048923918e-07,7.282507644188795e-07,5.7649671177482553e-08
1000.0,8.000000000000001e-07,8.01084729264181e-07,6.742880626474504e-08
