L,N,realization_seed,walk_index,first_passage_time
12,1728,58,29,1159
12,1728,58,30,701
12,1728,58,31,343
12,1728,58,32,4707
12,1728,58,33,899
12,1728,58,34,29
12,1728,59,0,1611
12,1728,59,1,643
12,1728,59,2,1619
12,1728,59,3,4521
12,1728,59,4,386
12,1728,59,5,1866
12,1728,59,6,1160
12,1728,59,7,1198
12,1728,59,8,1575
12,1728,59,9,228
12,1728,59,10,3636
12,1728,59,11,1470
12,1728,59,12,306
12,1728,59,13,10101
12,1728,59,14,3559
12,1728,59,15,3733
12,1728,59,16,2419
12,1728,59,17,9644
12,1728,59,18,67
12,1728,59,19,1343
12,1728,59,20,4585
12,1728,59,21,4896
12,1728,59,22,1483
12,1728,59,23,1916
12,1728,59,24,1356
12,1728,59,25,2821
12,1728,59,26,3895
12,1728,59,27,3355
12,1728,59,28,5189
12,1728,59,29,330
12,1728,59,30,128
12,1728,59,31,5053
12,1728,59,32,3511
12,1728,59,33,8279
12,1728,59,34,1124
12,1728,60,0,3024
12,1728,60,1,3467
12,1728,60,2,2831
12,1728,60,3,5157
12,1728,60,4,2540
12,1728,60,5,4153
12,1728,60,6,2235
12,1728,60,7,1388
12,1728,60,8,792
12,1728,60,9,2956
12,1728,60,10,3128
12,1728,60,11,4263
12,1728,60,12,2607
12,1728,60,13,596
12,1728,60,14,1893
12,1728,60,15,2045
12,1728,60,16,1235
12,1728,60,17,2445
12,1728,60,18,5647
12,1728,60,19,543
12,1728,60,20,3371
12,1728,60,21,340
12,1728,60,22,4195
12,1728,60,23,163
12,1728,60,24,2922
12,1728,60,25,3387
12,1728,60,26,5852
12,1728,60,27,4928
12,1728,60,28,8801
12,1728,60,29,1079
12,1728,60,30,13298
12,1728,60,31,7249
12,1728,60,32,1554
12,1728,60,33,5019
12,1728,60,34,4167
12,1728,61,0,51
12,1728,61,1,4439
12,1728,61,2,2574
12,1728,61,3,1743
12,1728,61,4,2377
12,1728,61,5,2438
12,1728,61,6,2404
12,1728,61,7,11145
12,1728,61,8,11022
12,1728,61,9,306
12,1728,61,10,11859
12,1728,61,11,518
12,1728,61,12,4967
12,1728,61,13,7468
12,1728,61,14,8973
12,1728,61,15,778
12,1728,61,16,2531
12,1728,61,17,6053
12,1728,61,18,8071
12,1728,61,19,1089
12,1728,61,20,560
12,1728,61,21,1117
12,1728,61,22,3784
12,1728,61,23,2672
12,1728,61,24,5847
12,1728,61,25,510
12,1728,61,26,6786
12,1728,61,27,2460
12,1728,61,28,1128
12,1728,61,29,3527
12,1728,61,30,391
12,1728,61,31,1677
12,1728,61,32,507
12,1728,61,33,1620
12,1728,61,34,5472
14,2744,62,0,5901
14,2744,62,1,2878
14,2744,62,2,7175
14,2744,62,3,830
14,2744,62,4,7572
14,2744,62,5,3415
14,2744,62,6,9691
14,2744,62,7,12157
14,2744,62,8,5107
14,2744,62,9,2704
14,2744,62,10,5012
14,2744,62,11,1966
14,2744,62,12,1998
14,2744,62,13,7964
14,2744,62,14,8183
14,2744,62,15,12363
14,2744,62,16,5230
14,2744,62,17,305
14,2744,62,18,7729
14,2744,62,19,2974
14,2744,62,20,424
14,2744,62,21,11931
14,2744,62,22,1028
14,2744,62,23,1053
14,2744,62,24,7395
14,2744,62,25,14243
14,2744,62,26,7407
14,2744,62,27,7149
14,2744,62,28,7867
14,2744,62,29,3544
14,2744,62,30,6319
14,2744,62,31,1971
14,2744,62,32,4669
14,2744,62,33,9156
14,2744,62,34,4018
14,2744,63,0,9611
14,2744,63,1,654
14,2744,63,2,1000
14,2744,63,3,6687
14,2744,63,4,6162
14,2744,63,5,3544
14,2744,63,6,10587
14,2744,63,7,5448
14,2744,63,8,7042
14,2744,63,9,3844
14,2744,63,10,3062
14,2744,63,11,15328
14,2744,63,12,4
14,2744,63,13,789
14,2744,63,14,13694
14,2744,63,15,1878
14,2744,63,16,2435
14,2744,63,17,2743
14,2744,63,18,2514
14,2744,63,19,8046
14,2744,63,20,303
14,2744,63,21,2
14,2744,63,22,5321
14,2744,63,23,1569
14,2744,63,24,15546
14,2744,63,25,8215
14,2744,63,26,6077
14,2744,63,27,8682
14,2744,63,28,416
14,2744,63,29,11346
14,2744,63,30,9707
14,2744,63,31,2241
14,2744,63,32,8665
14,2744,63,33,7477
14,2744,63,34,2753
14,2744,64,0,1202
14,2744,64,1,324
14,2744,64,2,9086
14,2744,64,3,4134
14,2744,64,4,3289
14,2744,64,5,9536
14,2744,64,6,650
14,2744,64,7,11817
14,2744,64,8,3316
14,2744,64,9,7424
14,2744,64,10,480
14,2744,64,11,1731
14,2744,64,12,5541
14,2744,64,13,15288
14,2744,64,14,1559
14,2744,64,15,5194
14,2744,64,16,6166
14,2744,64,17,11185
14,2744,64,18,1577
14,2744,64,19,1648
14,2744,64,20,924
14,2744,64,21,1724
14,2744,64,22,10403
14,2744,64,23,1663
14,2744,64,24,1705
14,2744,64,25,2251
14,2744,64,26,549
14,2744,64,27,531
14,2744,64,28,3354
14,2744,64,29,3392
14,2744,64,30,10224
14,2744,64,31,1587
14,2744,64,32,94
14,2744,64,33,1670
14,2744,64,34,1392
14,2744,65,0,1217
14,2744,65,1,6785
14,2744,65,2,11564
14,2744,65,3,766
14,2744,65,4,5862
14,2744,65,5,2408
14,2744,65,6,925
14,2744,65,7,3116
14,2744,65,8,4180
14,2744,65,9,915
14,2744,65,10,1783
14,2744,65,11,3070
14,2744,65,12,4258
14,2744,65,13,5447
14,2744,65,14,1927
14,2744,65,15,7056
14,2744,65,16,71
14,2744,65,17,467
14,2744,65,18,2194
14,2744,65,19,3297
14,2744,65,20,4446
14,2744,65,21,1201
14,2744,65,22,290
14,2744,65,23,12895
14,2744,65,24,1731
14,2744,65,25,420
14,2744,65,26,412
14,2744,65,27,1715
14,2744,65,28,2784
14,2744,65,29,1345
14,2744,65,30,2512
14,2744,65,31,9119
14,2744,65,32,4599
14,2744,65,33,1726
14,2744,65,34,867
14,2744,66,0,9611
14,2744,66,1,4407
14,2744,66,2,18848
14,2744,66,3,2221
14,2744,66,4,2722
14,2744,66,5,1364
14,2744,66,6,689
14,2744,66,7,7981
14,2744,66,8,5054
14,2744,66,9,3026
14,2744,66,10,11419
14,2744,66,11,1255
14,2744,66,12,1583
14,2744,66,13,5802
14,2744,66,14,10406
14,2744,66,15,140
14,2744,66,16,5445
14,2744,66,17,536
14,2744,66,18,10669
14,2744,66,19,3060
14,2744,66,20,8680
14,2744,66,21,25331
14,2744,66,22,4394
14,2744,66,23,3007
14,2744,66,24,12226
14,2744,66,25,5383
14,2744,66,26,5625
14,2744,66,27,5880
14,2744,66,28,1350
14,2744,66,29,8347
14,2744,66,30,3058
14,2744,66,31,15936
14,2744,66,32,2014
14,2744,66,33,30686
14,2744,66,34,9131
16,4096,67,0,5860
16,4096,67,1,14944
16,4096,67,2,1948
16,4096,67,3,19095
16,4096,67,4,11424
16,4096,67,5,20032
16,4096,67,6,99
16,4096,67,7,18505
16,4096,67,8,17837
16,4096,67,9,699
16,4096,67,10,4164
16,4096,67,11,1421
16,4096,67,12,4869
16,4096,67,13,5157
16,4096,67,14,8840
16,4096,67,15,8842
16,4096,67,16,3590
16,4096,67,17,4385
16,4096,67,18,5282
16,4096,67,19,1157
16,4096,67,20,3476
16,4096,67,21,7830
16,4096,67,22,4659
16,4096,67,23,21587
16,4096,67,24,32592
16,4096,67,25,2510
16,4096,67,26,10470
16,4096,67,27,18332
16,4096,67,28,4740
16,4096,67,29,9243
16,4096,67,30,3769
16,4096,67,31,13836
16,4096,67,32,1561
16,4096,67,33,5837
16,4096,67,34,1736
16,4096,68,0,2457
16,4096,68,1,3112
16,4096,68,2,3694
16,4096,68,3,3333
16,4096,68,4,11937
16,4096,68,5,15824
16,4096,68,6,15005
16,4096,68,7,4990
16,4096,68,8,293
16,4096,68,9,1285
16,4096,68,10,4255
16,4096,68,11,97
16,4096,68,12,10247
16,4096,68,13,5006
16,4096,68,14,1561
16,4096,68,15,3026
16,4096,68,16,14109
16,4096,68,17,8927
16,4096,68,18,843
16,4096,68,19,10092
16,4096,68,20,3192
16,4096,68,21,7651
16,4096,68,22,2678
16,4096,68,23,4205
16,4096,68,24,4480
16,4096,68,25,20825
16,4096,68,26,10323
16,4096,68,27,15632
