frequency_Hz,S_baseline,S_active,suppression_pct
6307361.757617347,3.6993012224623264e-19,3.6030296349379467e-19,2.6024262890465444
6642718.3273639055,3.6172295749138874e-19,3.5238542212311256e-19,2.5814052370448426
6995905.494623973,3.5364390197960186e-19,3.445906958204885e-19,2.559978019820497
7367871.295715801,3.4569452716912084e-19,3.3692025522625025e-19,2.538157608314706
7759614.1731686825,3.3787613001664205e-19,3.2937531143775124e-19,2.515957128570201
8172185.655774356,3.301897455705795e-19,3.2195682797323827e-19,2.4933898486503514
8606693.18113434,3.2263615978856606e-19,3.146655329441969e-19,2.4704691655122013
9064303.068279376,3.152159224771174e-19,3.075019313393745e-19,2.4472085918511577
9546243.648340486,3.079293602609984e-19,3.004663173328291e-19,2.4236217429359996
10053808.56167464,3.007765894993442e-19,2.9355878653741323e-19,2.3997223234512033
10588360.2302958,2.937575290748558e-19,2.867792481339209e-19,2.3755241143646355
11151333.514931727,2.8687191299135313e-19,2.8012743681465556e-19,2.3510409598380133
11744239.566523079,2.801193027235115e-19,2.7360292448830544e-19,2.3262867541970156
12368669.882503366,2.734990992706965e-19,2.6720513170070328e-19,2.3012754289782
13026300.578747215,2.670105548744055e-19,2.609333387332691e-19,2.27602094006919
13718896.888654498,2.6065278436586463e-19,2.5478669634762436e-19,2.25053725495844
14448317.901446361,2.5442477611684695e-19,2.4876423615105907e-19,2.224838340110491
15216521.552392013,2.483254025727233e-19,2.4286488056317935e-19,2.1989381484823323
16025569.878361577,2.423534303521594e-19,2.37087452369192e-19,2.172850607196075
16877634.552811306,2.3650752990275185e-19,2.314306838499124e-19,2.1465896053825317
17775002.71505933,2.307862847062287e-19,2.258932254826919e-19,2.120168982210213
18720083.109498225,2.251882000307103e-19,2.2047365421112876e-19,2.093602515113402
19715412.551224004,2.1971171123089836e-19,2.151704812846215e-19,2.06690390823292
20763662.73543642,2.143551916000091e-19,2.099821596716137e-19,2.0400867810822954
21867647.40888894,2.0911695977979852e-19,2.0490709105277403e-19,2.013164657451749
23030329.922638107,2.0399528673717774e-19,1.9994363240238613e-19,1.9861509545618383
24254831.186365318,1.989884023177252e-19,1.9509010216792887e-19,1.959058972478167
25544438.045622747,1.9409450138788182e-19,1.903447860592216e-19,1.9319018837976931
26902612.10448941,1.8931174957882052e-19,1.8570594245964056e-19,1.904692723617063
28332999.017319907,1.8463828864591614e-19,1.8117180747278863e-19,1.877444379792348
29839438.27452686,1.800722414584548e-19,1.7674059961866492e-19,1.8501695834993725
31425973.508664,1.756117166347245e-19,1.7241052419384738e-19,1.8228809001028523
33096863.348474443,1.7125481283795214e-19,1.6817977731049405e-19,1.7955907203424437
34856592.85003831,1.6699962274871934e-19,1.640465496291189e-19,1.7683112518426802
36709885.535704166,1.6284423672951824e-19,1.6000902980011146e-19,1.7410545109533215
38661716.07311932,1.587867461970215e-19,1.5606540762887678e-19,1.7138323149264
40717323.62839199,1.548252467174543e-19,1.5221387697928467e-19,1.6866562744351499
42882225.92922913,1.5095784084018176e-19,1.4845263842984593e-19,1.65953778643938
45162234.07579771,1.4718264068428833e-19,1.447799016967033e-19,1.632488027401946
47563468.139066644,1.4349777029252363e-19,1.4119388783713445e-19,1.6055179468591474
50092373.58849689,1.399013677665523e-19,1.3769283124683945e-19,1.5786382613486305
52755738.5931778,1.3639158719696098e-19,1.3427498146381768e-19,1.551859448696602
55560712.2428479,1.3296660040097714e-19,1.3093860479115732e-19,1.5251917426663208
58514823.73771095,1.2962459848032808e-19,1.276819857505533e-19,1.4986451279689783
61626002.598556265,1.2636379321113648e-19,1.24503428377858e-19,1.472229335637354
64902599.951432765,1.231824182772068e-19,1.2140125737144734e-19,1.4459538387622595
68353410.9440096,1.2007873035751735e-19,1.1837381910366647e-19,1.419827848591304
71987698.35379316,1.1705101007819587e-19,1.154194825051047e-19,1.3938603109885483
75815217.45157163,1.1409756283872326e-19,1.125366398309371e-19,1.3680599032536156
79846242.18682528,1.1121671952159187e-19,1.097237073180737e-19,1.3424350312978839
84091592.76539123,1.0840683709413485e-19,1.0697912574136968e-19,1.3169938271747728
88562664.69340728,1.0566629911074873e-19,1.043013608766748e-19,1.2917441469614932
93271459.36549439,1.029935161232547e-19,1.0168890387804692e-19,1.2666935689878978
