L,N,seed,walk,first_passage_time
6,216,53,4,1473
6,216,53,5,5324
6,216,53,6,1477
6,216,53,7,2100
6,216,53,8,5419
6,216,53,9,511
6,216,53,10,7541
6,216,53,11,518
6,216,53,12,459
6,216,53,13,1808
6,216,53,14,2842
6,216,53,15,2631
6,216,53,16,2137
6,216,53,17,390
6,216,53,18,1807
6,216,53,19,1443
6,216,53,20,5611
6,216,53,21,328
6,216,53,22,5634
6,216,53,23,1110
6,216,53,24,1579
6,216,53,25,6821
6,216,53,26,831
6,216,53,27,627
6,216,53,28,1216
6,216,53,29,694
6,216,53,30,1732
6,216,53,31,1800
6,216,53,32,4691
6,216,53,33,622
6,216,53,34,1633
6,216,53,35,247
6,216,53,36,2352
6,216,53,37,5453
6,216,53,38,255
6,216,53,39,7240
6,216,53,40,2008
6,216,53,41,998
6,216,53,42,260
6,216,53,43,1377
6,216,53,44,4249
6,216,53,45,6537
6,216,53,46,5744
6,216,53,47,1759
6,216,53,48,2507
6,216,53,49,2101
6,216,54,0,3399
6,216,54,1,547
6,216,54,2,3161
6,216,54,3,609
6,216,54,4,3188
6,216,54,5,127
6,216,54,6,2300
6,216,54,7,406
6,216,54,8,4206
6,216,54,9,8177
6,216,54,10,2929
6,216,54,11,4406
6,216,54,12,2278
6,216,54,13,1921
6,216,54,14,3221
6,216,54,15,1389
6,216,54,16,440
6,216,54,17,388
6,216,54,18,133
6,216,54,19,2455
6,216,54,20,4171
6,216,54,21,493
6,216,54,22,3811
6,216,54,23,530
6,216,54,24,3107
6,216,54,25,2377
6,216,54,26,5346
6,216,54,27,1939
6,216,54,28,2244
6,216,54,29,4184
6,216,54,30,770
6,216,54,31,2722
6,216,54,32,294
6,216,54,33,1517
6,216,54,34,612
6,216,54,35,6975
6,216,54,36,2426
6,216,54,37,1419
6,216,54,38,3447
6,216,54,39,6805
6,216,54,40,3001
6,216,54,41,4192
6,216,54,42,1174
6,216,54,43,210
6,216,54,44,2194
6,216,54,45,2246
6,216,54,46,1758
6,216,54,47,4631
6,216,54,48,2206
6,216,54,49,1166
6,216,55,0,699
6,216,55,1,1832
6,216,55,2,2714
6,216,55,3,3007
6,216,55,4,1040
6,216,55,5,2756
6,216,55,6,3799
6,216,55,7,644
6,216,55,8,3117
6,216,55,9,1685
6,216,55,10,677
6,216,55,11,4432
6,216,55,12,2999
6,216,55,13,5431
6,216,55,14,140
6,216,55,15,160
6,216,55,16,1873
6,216,55,17,890
6,216,55,18,7486
6,216,55,19,1539
6,216,55,20,418
6,216,55,21,4838
6,216,55,22,2509
6,216,55,23,268
6,216,55,24,3751
6,216,55,25,854
6,216,55,26,16463
6,216,55,27,519
6,216,55,28,3178
6,216,55,29,1725
6,216,55,30,2551
6,216,55,31,654
6,216,55,32,1113
6,216,55,33,4397
6,216,55,34,412
6,216,55,35,2907
6,216,55,36,4693
6,216,55,37,879
6,216,55,38,313
6,216,55,39,100
6,216,55,40,669
6,216,55,41,594
6,216,55,42,2821
6,216,55,43,3498
6,216,55,44,3816
6,216,55,45,3875
6,216,55,46,204
6,216,55,47,1236
6,216,55,48,1488
6,216,55,49,1229
6,216,56,0,3675
6,216,56,1,5557
6,216,56,2,440
6,216,56,3,4080
6,216,56,4,2863
6,216,56,5,4846
6,216,56,6,3172
6,216,56,7,1637
6,216,56,8,3183
6,216,56,9,725
6,216,56,10,4059
6,216,56,11,1566
6,216,56,12,1429
6,216,56,13,1821
6,216,56,14,3062
6,216,56,15,190
6,216,56,16,1078
6,216,56,17,21295
6,216,56,18,1841
6,216,56,19,515
6,216,56,20,1649
6,216,56,21,5927
6,216,56,22,1714
6,216,56,23,1706
6,216,56,24,135
6,216,56,25,5496
6,216,56,26,1057
6,216,56,27,226
6,216,56,28,4153
6,216,56,29,3880
6,216,56,30,459
6,216,56,31,501
6,216,56,32,1473
6,216,56,33,7345
6,216,56,34,2653
6,216,56,35,2993
6,216,56,36,1761
6,216,56,37,820
6,216,56,38,750
6,216,56,39,2769
6,216,56,40,2999
6,216,56,41,4113
6,216,56,42,1497
6,216,56,43,7100
6,216,56,44,17609
6,216,56,45,1080
6,216,56,46,3288
6,216,56,47,1368
6,216,56,48,3169
6,216,56,49,114
6,216,57,0,4654
6,216,57,1,3586
6,216,57,2,1686
6,216,57,3,6191
6,216,57,4,6818
6,216,57,5,2874
6,216,57,6,351
6,216,57,7,3172
6,216,57,8,888
6,216,57,9,429
6,216,57,10,6489
6,216,57,11,2000
6,216,57,12,687
6,216,57,13,3492
6,216,57,14,4900
6,216,57,15,4009
6,216,57,16,4793
6,216,57,17,5654
6,216,57,18,4304
6,216,57,19,756
6,216,57,20,2646
6,216,57,21,14561
6,216,57,22,578
6,216,57,23,323
6,216,57,24,2977
6,216,57,25,961
6,216,57,26,357
6,216,57,27,426
6,216,57,28,908
6,216,57,29,1515
6,216,57,30,2277
6,216,57,31,1908
6,216,57,32,1484
6,216,57,33,4699
6,216,57,34,2549
6,216,57,35,1613
6,216,57,36,810
6,216,57,37,2219
6,216,57,38,986
6,216,57,39,1370
6,216,57,40,2681
6,216,57,41,1163
6,216,57,42,2528
6,216,57,43,1502
6,216,57,44,1049
6,216,57,45,1103
6,216,57,46,273
6,216,57,47,5472
6,216,57,48,4564
6,216,57,49,616
7,343,58,0,1764
7,343,58,1,5756
7,343,58,2,3228
7,343,58,3,13547
7,343,58,4,2420
7,343,58,5,2162
7,343,58,6,416
7,343,58,7,4178
7,343,58,8,1505
7,343,58,9,9083
7,343,58,10,7683
7,343,58,11,388
7,343,58,12,2127
7,343,58,13,5506
7,343,58,14,7998
7,343,58,15,6584
7,343,58,16,728
7,343,58,17,3130
7,343,58,18,1562
7,343,58,19,4114
7,343,58,20,6202
7,343,58,21,2429
7,343,58,22,9589
7,343,58,23,4607
7,343,58,24,978
7,343,58,25,3242
7,343,58,26,282
7,343,58,27,7306
7,343,58,28,1399
7,343,58,29,2319
7,343,58,30,6395
7,343,58,31,19369
7,343,58,32,4132
7,343,58,33,8460
7,343,58,34,644
7,343,58,35,4130
7,343,58,36,7129
7,343,58,37,592
7,343,58,38,10070
7,343,58,39,10435
7,343,58,40,8181
7,343,58,41,3290
7,343,58,42,5457
7,343,58,43,723
7,343,58,44,8504
7,343,58,45,2017
7,343,58,46,3157
7,343,58,47,2459
7,343,58,48,711
7,343,58,49,1081
7,343,59,0,1667
7,343,59,1,1920
7,343,59,2,16237
7,343,59,3,4080
7,343,59,4,1140
7,343,59,5,2069
7,343,59,6,760
7,343,59,7,447
7,343,59,8,1973
7,343,59,9,609
7,343,59,10,3756
7,343,59,11,547
7,343,59,12,9695
7,343,59,13,4082
7,343,59,14,2147
7,343,59,15,931
7,343,59,16,14577
7,343,59,17,4770
7,343,59,18,1931
7,343,59,19,7762
7,343,59,20,2158
7,343,59,21,3260
7,343,59,22,5056
7,343,59,23,21603
7,343,59,24,1348
7,343,59,25,12185
7,343,59,26,1831
7,343,59,27,6538
7,343,59,28,1435
7,343,59,29,8702
7,343,59,30,202
7,343,59,31,5263
7,343,59,32,9058
7,343,59,33,11457
7,343,59,34,4747
7,343,59,35,8195
7,343,59,36,1895
7,343,59,37,3526
7,343,59,38,466
7,343,59,39,3471
7,343,59,40,377
7,343,59,41,1473
7,343,59,42,4445
7,343,59,43,966
7,343,59,44,14551
7,343,59,45,775
7,343,59,46,2641
7,343,59,47,486
7,343,59,48,676
7,343,59,49,2352
7,343,60,0,512
7,343,60,1,1172
7,343,60,2,3078
7,343,60,3,9763
7,343,60,4,3824
