t_ext,tau,x_m,v_m_s
0.5032516258129064,0.2516258129064532,124.22510855227512,493.6898449224612
0.5042521260630315,0.25212606303151575,124.71953635647236,494.6713356678339
0.5052526263131566,0.2526263131565783,125.21494614240586,495.65282641320664
0.5062531265632816,0.2531265632816408,125.71133791007557,496.6343171585792
0.5072536268134067,0.25362681340670334,126.20871165948155,497.615807903952
0.5082541270635317,0.25412706353176584,126.70706739062372,498.59729864932456
0.5092546273136568,0.2546273136568284,127.2064051035022,499.5787893946973
0.5102551275637819,0.25512756378189094,127.70672479811691,500.56028014007
0.5112556278139069,0.25562781390695344,128.20802647446783,501.54177088544265
0.512256128064032,0.256128064032016,128.710310132555,502.5232616308154
0.5132566283141571,0.25662831415707854,129.21357577237842,503.5047523761881
0.5142571285642821,0.25712856428214104,129.71782339393806,504.48624312156073
0.5152576288144072,0.2576288144072036,130.22305299723396,505.46773386693343
0.5162581290645323,0.25812906453226614,130.72926458226613,506.4492246123062
0.5172586293146573,0.25862931465732864,131.23645814903446,507.43071535767876
0.5182591295647824,0.2591295647823912,131.7446336975391,508.4122061030515
0.5192596298149074,0.2596298149074537,132.25379122777994,509.3936968484241
0.5202601300650325,0.26013006503251623,132.76393073975706,510.37518759379685
0.5212606303151576,0.2606303151575788,133.2750522334704,511.35667833916955
0.5222611305652826,0.2611305652826413,133.78715570891995,512.3381690845422
0.5232616308154077,0.26163081540770383,134.3002411661058,513.3196598299149
0.5242621310655328,0.2621310655327664,134.8143086050279,514.3011505752877
0.5252626313156578,0.2626313156578289,135.32935802568613,515.2826413206602
0.5262631315657829,0.26313156578289143,135.8453894280807,516.264132066033
0.527263631815908,0.263631815907954,136.3624028122115,517.2456228114057
0.528264132066033,0.2641320660330165,136.8803981780785,518.2271135567784
0.5292646323161581,0.26463231615807903,137.3993755256818,519.208604302151
0.530265132566283,0.2651325662831415,137.91933485502128,520.1900950475236
0.5312656328164082,0.2656328164082041,138.44027616609702,521.1715857928964
0.5322661330665333,0.2661330665332666,138.96219945890903,522.1530765382691
0.5332666333166582,0.2666333166583291,139.48510473345723,523.1345672836418
0.5342671335667833,0.2671335667833917,140.00899198974173,524.1160580290144
0.5352676338169085,0.2676338169084542,140.53386122776246,525.0975487743872
0.5362681340670334,0.2681340670335167,141.05971244751936,526.0790395197598
0.5372686343171585,0.26863431715857927,141.5865456490126,527.0605302651326
0.5382691345672836,0.2691345672836418,142.11436083224206,528.0420210105052
0.5392696348174086,0.2696348174087043,142.64315799720765,529.0235117558778
0.5402701350675337,0.27013506753376687,143.17293714390962,530.0050025012506
0.5412706353176588,0.2706353176588294,143.7036982723478,530.9864932466234
0.5422711355677838,0.2711355677838919,144.23544138252214,531.967983991996
0.5432716358179089,0.27163581790895447,144.7681664744328,532.9494747373686
0.5442721360680339,0.27213606803401696,145.30187354807964,533.9309654827413
0.545272636318159,0.2726363181590795,145.8365626034628,534.912456228114
0.5462731365682841,0.27313656828414207,146.37223364058218,535.8939469734868
0.5472736368184091,0.27363681840920456,146.9088866594377,536.8754377188593
0.5482741370685342,0.2741370685342671,147.4465216600296,537.856928464232
0.5492746373186593,0.27463731865932967,147.9851386423577,538.8384192096048
0.5502751375687843,0.27513756878439216,148.52473760642198,539.8199099549774
0.5512756378189094,0.2756378189094547,149.06531855222258,540.8014007003502
0.5522761380690345,0.27613806903451726,149.60688147975938,541.7828914457228
0.5532766383191595,0.27663831915957976,150.1494263890324,542.7643821910955
0.5542771385692846,0.2771385692846423,150.6929532800417,543.7458729364682
0.5552776388194096,0.2776388194097048,151.2374621527872,544.7273636818409
0.5562781390695347,0.27813906953476736,151.782953007269,545.7088544272135
0.5572786393196598,0.2786393196598299,152.32942584348703,546.6903451725863
0.5582791395697848,0.2791395697848924,152.87688066144125,547.6718359179589
0.5592796398199099,0.27963981990995496,153.42531746113175,548.6533266633317
0.560280140070035,0.2801400700350175,153.9747362425585,549.6348174087043
0.56128064032016,0.28064032016008,154.52513700572143,550.6163081540769
0.5622811405702851,0.28114057028514255,155.07651975062066,551.5977988994497
0.5632816408204102,0.2816408204102051,155.62888447725612,552.5792896448224
0.5642821410705352,0.2821410705352676,156.18223118562778,553.5607803901951
0.5652826413206603,0.28264132066033015,156.73655987573576,554.5422711355677
0.5662831415707853,0.28314157078539265,157.2918705475799,555.5237618809404
0.5672836418209104,0.2836418209104552,157.8481632011603,556.5052526263131
0.5682841420710355,0.28414207103551775,158.405437836477,557.4867433716859
0.5692846423211605,0.28464232116058025,158.96369445352988,558.4682341170585
0.5702851425712856,0.2851425712856428,159.52293305231902,559.4497248624311
0.5712856428214107,0.28564282141070535,160.08315363284444,560.4312156078039
0.5722861430715357,0.28614307153576785,160.644356195106,561.4127063531765
0.5732866433216608,0.2866433216608304,161.2065407391039,562.3941970985493
0.5742871435717859,0.28714357178589295,161.76970726483802,563.3756878439219
0.5752876438219109,0.28764382191095544,162.3338557723083,564.3571785892946
0.576288144072036,0.288144072036018,162.89898626151492,565.3386693346673
0.5772886443221611,0.28864432216108055,163.46509873245776,566.3201600800401
0.5782891445722861,0.28914457228614304,164.0321931851368,567.3016508254126
0.5792896448224112,0.2896448224112056,164.60026961955214,568.2831415707853
0.5802901450725362,0.2901450725362681,165.16932803570364,569.264632316158
0.5812906453226613,0.29064532266133064,165.73936843359144,570.2461230615307
0.5822911455727864,0.2911455727863932,166.3103908132155,571.2276138069035
0.5832916458229114,0.2916458229114557,166.88239517457572,572.209104552276
0.5842921460730365,0.29214607303651824,167.4553815176723,573.1905952976488
0.5852926463231616,0.2926463231615808,168.02934984250504,574.1720860430215
0.5862931465732866,0.2931465732866433,168.604300149074,575.1535767883942
0.5872936468234117,0.29364682341170584,169.18023243737923,576.1350675337668
0.5882941470735368,0.2941470735367684,169.75714670742076,577.1165582791396
0.5892946473236618,0.2946473236618309,170.33504295919843,578.0980490245122
