time,weak_pulse,strong_pulse
0.1370342585646412,-0.047373029624357695,-0.10422199975083833
0.13753438359589898,-0.04923041283493648,-0.10830824667300629
0.1380345086271568,-0.05113385092342301,-0.1124958142776919
0.13853463365841462,-0.05308380638288491,-0.11678572004974438
0.13903475868967244,-0.055080737701430106,-0.12117897266310251
0.13953488372093026,-0.05712509935465581,-0.1256765719641822
0.14003500875218805,-0.05921734179825314,-0.13027950895560678
0.14053513378344587,-0.06135791146076718,-0.13498876578027919
0.1410352588147037,-0.06354725073651231,-0.1398053157057955
0.1415353838459615,-0.06578579797864235,-0.14473012310919942
0.14203550887721933,-0.06807398749237548,-0.14976414346207695
0.14253563390847712,-0.07041224952837347,-0.1549083233159909
0.14303575893973494,-0.07280101027627517,-0.16016360028825427
0.14353588397099276,-0.07524069185838374,-0.16553090304804244
0.14403600900225058,-0.07773171232350758,-0.17101115130284297
0.1445361340335084,-0.08027448564095452,-0.17660525578524297
0.1450362590647662,-0.08286942169467904,-0.18231411824005292
0.145536384096024,-0.0855169262775823,-0.18813863141176676
0.14603650912728183,-0.08821740108596458,-0.19407967903235718
0.14653663415853965,-0.09097124371412992,-0.20013813580940593
0.14703675918979747,-0.09377884764914261,-0.20631486741456798
0.1475368842210553,-0.09664060226573533,-0.2126107304723695
0.14803700925231308,-0.09955689282136845,-0.21902657254933833
0.1485371342835709,-0.10252810045144047,-0.2255632321434668
0.14903725931482872,-0.10555460216464893,-0.23222153867400594
0.14953738434608654,-0.10863677083850187,-0.23900231247159054
0.15003750937734436,-0.11177497521497923,-0.24590636476869418
0.15053763440860216,-0.11496957989634393,-0.2529344976904138
0.15103775943985998,-0.11822094534110249,-0.2600875042455829
0.1515378844711178,-0.12152942786011461,-0.2673661683182127
0.15203800950237562,-0.12489537961285162,-0.27477126465926044
0.15253813453363343,-0.12831914860380317,-0.2823035588787246
0.15303825956489123,-0.1318010786790322,-0.2899638074380655
0.15353838459614905,-0.13534150952287766,-0.29775275764295117
0.15403850962740687,-0.13894077665480445,-0.3056711476363275
0.1545386346586647,-0.1425992114264006,-0.313719706391812
0.1550387596899225,-0.14631714101852122,-0.32189915370741023
0.1555388847211803,-0.15009488843857866,-0.3302102001995543
0.15603900975243812,-0.15393277251797882,-0.3386535472974629
0.15653913478369594,-0.15783110790970314,-0.3472298872378212
0.15703925981495376,-0.16179020508603578,-0.35593990305978146
0.15753938484621158,-0.16581037033643597,-0.36478426860028135
0.1580395098774694,-0.16989190576555474,-0.37376364848968113
0.1585396349087272,-0.17403510929139598,-0.3828786981477181
0.159039759939985,-0.17824027464362144,-0.3921300637797772
0.15953988497124283,-0.18250769136199896,-0.4015183823734777
0.16004001000250065,-0.18683764479499418,-0.41104428169557417
0.16054013503375847,-0.1912304160985046,-0.4207083802891722
0.16104026006501626,-0.19568628223473633,-0.4305112874712566
0.16154038509627408,-0.2002055159712225,-0.4404536033305326
0.1620405101275319,-0.20478838587998358,-0.45053591872557774
0.16254063515878972,-0.2094351563368287,-0.46075881528330526
0.16304076019004754,-0.21414608752079767,-0.47112286539773657
0.16354088522130533,-0.21892143541374376,-0.4816286322290831
0.16404101025256315,-0.22376145180005616,-0.4922766697031358
0.16454113528382097,-0.22866638426652222,-0.5030675225109623
0.1650412603150788,-0.23363647620232889,-0.5140017261089097
0.1655413853463366,-0.23867196679920294,-0.5250798067189133
0.1660415103775944,-0.24377309105168962,-0.5363022813291096
0.16654163540885222,-0.24894007975756927,-0.5476696576947526
0.16704176044011004,-0.2541731595184115,-0.5591824343394335
0.16754188547136786,-0.25947255274026665,-0.5708411005566012
0.16804201050262568,-0.2648384776344938,-0.5826461364113849
0.16854213553388347,-0.27027114821872544,-0.594598012742715
0.1690422605651413,-0.2757707743179676,-0.6066971911657447
0.16954238559639911,-0.2813375615658358,-0.6189441240745687
0.17004251062765693,-0.2869717114059259,-0.6313392546452385
0.17054263565891475,-0.2926734210933199,-0.6438830168390758
0.17104276069017257,-0.2984428836962252,-0.6565758354062785
0.17154288572143037,-0.30428028809774843,-0.6694181258898235
0.17204301075268819,-0.3101858189978022,-0.6824102946296609
0.172543135783946,-0.3161596569151446,-0.6955527387672016
0.17304326081520383,-0.3222019781895516,-0.7088458462500961
