t,mu_ratio,lambda,M2,m2,gamma
3.8677354709418834,47.83394198816589,1.1002552974662891,0.26496948047034613,1.0050112469208714,0.8188688232453868
3.8877755511022043,48.802207676198734,1.10082404556697,0.26505094156623443,1.0050378291188369,0.8189712504404719
3.9078156312625247,49.79007322164774,1.1013933497187385,0.2651324455352001,1.005064418011711,0.8190737287424965
3.9278557114228456,50.79793536934804,1.101963210725681,0.26521399242144156,1.0050910136049114,0.8191762582017063
3.947895791583166,51.82619889513518,1.1025336293932768,0.2652955822692194,1.005117615903862,0.8192788388684147
3.967935871743487,52.8752767684106,1.103104606528399,0.2653772151228567,1.0051442249139937,0.8193814707930036
3.9879759519038074,53.94559031799758,1.103676142939313,0.26545889102673903,1.0051708406407434,0.8194841540259223
4.008016032064128,55.03756940135465,1.1042482394356776,0.2655406100253141,1.0051974630895537,0.8195868886176885
4.028056112224449,56.151652577214215,1.1048208968285451,0.26562237216309215,1.0052240922658746,0.8196896746188871
4.04809619238477,57.288287281715654,1.1053941159303606,0.2657041774846457,1.0052507281751621,0.8197925120801715
4.06813627254509,58.447930008103846,1.105967897554962,0.26578602603460977,1.0052773708228782,0.8198954010522628
4.0881763527054105,59.63104649006541,1.1065422425175813,0.2658679178576816,1.0053040202144916,0.8199983415859499
4.108216432865731,60.83811188877552,1.1071171516348421,0.26594985299862095,1.0053306763554775,0.8201013337320898
4.128256513026052,62.06961098373153,1.1076926233983095,0.2660318314144086,1.0053573392437214,0.8202043774497401
4.148296593186372,63.326038367449144,1.1082686636171075,0.2661138533383285,1.0053840089010018,0.8203074729869276
4.168336673346693,64.60789864410002,1.1088452704905007,0.26619591871634446,1.0054106853242537,0.8204106202911935
4.188376753507014,65.91570663216973,1.1094224448483325,0.2662780275937544,1.0054373685190028,0.8205138194139682
4.208416833667335,67.24998757121838,1.1100001875218468,0.2663601800159188,1.0054640584907804,0.8206170704067502
4.228456913827655,68.61127733282642,1.110578499343692,0.2664423760282611,1.005490755245125,0.8207203733211068
4.248496993987976,70.0001226358106,1.1111573811479245,0.2665246156762675,1.0055174587875813,0.8208237282086731
4.268537074148297,71.41708126579587,1.1117368337700109,0.2666068990054874,1.0055441691237,0.8209271351211533
4.288577154308617,72.86272229923252,1.1123168580468334,0.26668922606153317,1.0055708862590387,0.8210305941103203
4.3086172344689375,74.33762633194776,1.1128974548166917,0.2667715968900808,1.0055976101991608,0.8211341052280159
4.328657314629258,75.84238571232329,1.1134786249193074,0.2668540115368694,1.005624340949637,0.8212376685261505
4.348697394789579,77.37760477919349,1.1140603691958268,0.2669364700477019,1.0056510785160442,0.8213412840567043
4.368737474949899,78.94390010455874,1.114642688488825,0.26701897246844486,1.0056778229039653,0.8214449518717263
4.38877755511022,80.54190074121226,1.115225583642309,0.26710151884502864,1.00570457411899,0.8215486720233351
4.408817635270541,82.17224847537886,1.1158090555017213,0.2671841092234476,1.005731332166715,0.8216524445637192
4.428857715430862,83.83559808446822,1.116393104913943,0.2672667436497603,1.0057580970527424,0.8217562695451363
4.448897795591182,85.5326176000453,1.1169777327272976,0.26734942217008933,1.0057848687826818,0.8218601470199141
4.468937875751503,87.26398857612432,1.117562939791555,0.26743214483062183,1.0058116473621488,0.8219640770404504
4.488977955911824,89.03040636289288,1.1181487269579338,0.2675149116776093,1.005838432796766,0.8220680596592129
