t_cycles,F_pN,z_nm
0.8844221105527638,119.6378062523193,4.096761133240477e-08
0.8894472361809045,122.93231823097648,4.1401159831042873e-08
0.8944723618090451,126.10428860133175,4.183789270099992e-08
0.8994974874371858,129.15055547433698,4.227788686626451e-08
0.9045226130653267,132.06808226492402,4.272121599989518e-08
0.9095477386934673,134.85396071893862,4.3167950450581456e-08
0.914572864321608,137.50541381215146,4.361815717251876e-08
0.9195979899497486,140.01979851845635,4.407189965866703e-08
0.9246231155778893,142.3946084444962,4.452923787745955e-08
0.9296482412060302,144.62747632809018,4.499022821302506e-08
0.9346733668341708,146.71617639797216,4.5454923408982954e-08
0.9396984924623115,148.65862659248822,4.5923372515867146e-08
0.9447236180904521,150.45289063504072,4.6395620842231526e-08
0.9497487437185929,152.0971799642111,4.6871709909485376e-08
0.9547738693467337,153.5898555166365,4.7351677410503955e-08
0.9597989949748743,154.92942936086413,4.783555717205537e-08
0.964824120603015,156.11456618055345,4.832337912108135e-08
0.9698492462311556,157.14408460554867,4.8815169254865446e-08
0.9748743718592964,158.01695838949414,4.931094961511829e-08
0.9798994974874372,158.73231743281912,4.9810738266006036e-08
0.9849246231155778,159.2894486500717,5.031454927614356e-08
0.9899497487437185,159.68779668073833,5.082239270457054e-08
0.9949748743718592,159.92696444283894,5.1334274590724413e-08
1.0,160.00671352874687,5.185019694842014e-08
