t,g
0.4108216432865728,2.331423433835541
0.43086172344689366,2.3315353800239103
0.45090180360721455,2.3316472896399234
0.47094188376753454,2.3317591626447727
0.4909819639278554,2.3318709989997313
0.5110220440881763,2.3319827986661523
0.5310621242484972,2.3320945616054676
0.5511022044088172,2.3322062877791883
0.5711422845691381,2.332317977148906
0.591182364729459,2.332429629676291
0.611222444889779,2.332541245323094
0.6312625250500998,2.3326528240511437
0.6513026052104207,2.3327643658223502
0.6713426853707416,2.3328758705987025
0.6913827655310616,2.3329873383422677
0.7114228456913825,2.3330987690151943
0.7314629258517034,2.3332101625797095
0.7515030060120242,2.3333215189981202
0.7715430861723442,2.333432838232813
0.7915831663326651,2.3335441202462532
0.811623246492986,2.333655365000987
0.831663326653306,2.3337665724596386
0.8517034068136269,2.333877742584913
0.8717434869739478,2.333988875339594
0.8917835671342687,2.3340999706865446
0.9118236472945886,2.334211028588709
0.9318637274549095,2.3343220490091086
0.9519038076152304,2.3344330319108466
0.9719438877755513,2.3345439772571037
0.9919839679358713,2.3346548850111417
1.0120240480961922,2.334765755136301
1.032064128256513,2.334876587596002
1.052104208416833,2.334987382353744
1.072144288577154,2.3350981393731067
1.0921843687374748,2.3352088586177486
1.1122244488977957,2.3353195400514086
1.1322645290581157,2.3354301836379037
1.1523046092184366,2.3355407893411315
1.1723446893787575,2.3356513571250694
1.1923847695390783,2.3357618869537737
1.2124248496993983,2.3358723787913798
1.2324649298597192,2.3359828326021037
1.25250501002004,2.33609324835024
1.27254509018036,2.3362036260001635
1.292585170340681,2.3363139655163283
1.3126252505010019,2.3364242668632675
1.3326653306613228,2.336534530005595
1.3527054108216428,2.336644754908003
1.3727454909819636,2.3367549415352635
1.3927855711422845,2.3368650898522283
1.4128256513026045,2.336975199823829
1.4328657314629254,2.3370852714150754
1.4529058116232463,2.3371953045910585
1.4729458917835672,2.3373052993169483
1.4929859719438872,2.3374152555579935
1.513026052104208,2.337525173279523
1.533066132264529,2.337635052446946
1.5531062124248498,2.337744893025749
1.5731462925851698,2.337854694981501
1.5931863727454907,2.3379644582798473
1.6132264529058116,2.3380741828865155
1.6332665330661316,2.3381838687673113
1.6533066132264524,2.3382935158881204
1.6733466933867733,2.3384031242149077
1.6933867735470942,2.3385126937137173
1.7134268537074142,2.338622224350674
1.733466933867735,2.338731716091981
1.753507014028056,2.338841168903922
1.7735470941883769,2.338950582752859
1.7935871743486969,2.3390599576052344
1.8136272545090177,2.3391692934275703
1.8336673346693386,2.339278590186468
1.8537074148296586,2.3393878478474024
1.8737474949899795,2.3394970663651535
1.8937875751503004,2.339606245703011
1.9138276553106213,2.3397153858272928
1.9338677354709413,2.3398244867043876
1.9539078156312621,2.339933548300757
1.973947895791583,2.3400425705829355
1.993987975951904,2.3401515535175292
2.014028056112224,2.3402604970712164
2.034068136272545,2.3403694012107477
2.0541082164328657,2.3404782659029464
2.0741482965931857,2.340587091114708
2.0941883767535066,2.3406958768129993
2.1142284569138274,2.3408046229648614
2.1342685370741483,2.3409133295374054
2.1543086172344683,2.341021996497816
2.174348697394789,2.3411306238133496
2.19438877755511,2.3412392114513354
