Event,M_final,chi_final,SNR,Catalog,Type,tau_ms,f_QNM_Hz,log_M,log_tau,spin_factor,tau_corrected,log_tau_corr,residual_log
GW200209_085452,57.0,0.72,8.6,GWTC-3,BBH,1.1267124919059237,308.2032374954547,1.7558748556724917,0.0518131093838675,1.7732864105439692,0.6353809994857492,-0.19696577651213376,0.09898251450714378
GW200216_220804,56.0,0.72,8.3,GWTC-3,BBH,1.106945606083013,313.7068667364449,1.7481880270062005,0.0441262807175766,1.7732864105439692,0.6242339644070519,-0.2046526051784247,0.0989825145071441
GW200219_094415,57.0,0.75,10.7,GWTC-3,BBH,1.1665794065563315,316.28877182992306,1.7558748556724917,0.0669143056291516,1.8660659830736148,0.6251544249442067,-0.20401269046843157,0.11408371075242787
GW200224_222234,63.0,0.75,19.5,GWTC-3,BBH,1.2893772388254194,286.16603165564464,1.7993405494535817,0.1103799994102419,1.8660659830736148,0.6909601538857024,-0.1605469966873411,0.11408371075242818
GW200225_060421,30.8,0.69,12.5,GWTC-3,BBH,0.5897562960316441,556.7490902174459,1.4885507165004443,-0.2293274140418489,1.6938979318613736,0.34816519043953176,-0.4582146518164262,0.08516613025347472
GW200302_015811,48.5,0.71,9.6,GWTC-3,BBH,0.9482950666844848,359.247514781238,1.6857417386022635,-0.0230565087651053,1.7455042112643149,0.5432785899712093,-0.2649774097105751,0.09424601342839915
GW200306_093714,49.0,0.72,8.4,GWTC-3,BBH,0.9685774053226364,358.5221334130799,1.6901960800285136,-0.0138656662601101,1.7732864105439692,0.5462047188561705,-0.2626445521561114,0.09898251450714424
GW200308_173609,48.0,0.72,9.0,GWTC-3,BBH,0.9488105194997254,365.9913445258524,1.6812412373755872,-0.0228205089130365,1.7732864105439692,0.5350576837774731,-0.2715993948090379,0.09898251450714429
GW200311_115853,53.5,0.73,17.8,GWTC-3,BBH,1.0694751763152874,331.1442488793484,1.7283537820212285,0.0291707085761703,1.802545790959476,0.5933137353176571,-0.2267155975522854,0.10386118735070979
GW200316_215756,23.5,0.7,10.1,GWTC-3,BBH,0.4546390594516614,735.4760705643102,1.3710678622717365,-0.3423332554222736,1.7190774178467678,0.26446689063085943,-0.5776286907984256,0.08964314310175786
GW200322_091133,86.0,0.77,9.0,GWTC-3,BBH,1.804912013593796,213.526350558065,1.934498451243568,0.2564560356366533,1.937414178945512,0.9316087562527111,-0.030766438155429926,0.12500184518885338
