time_s,delta_signal,theta_signal,alpha_signal,beta_signal,gamma_signal
1.605,0.04779964794857314,-0.13641024078691044,0.15190970706625767,-0.6112997437929549,-0.5467917790256256
1.606,0.11883416206096759,-0.2524721929701909,0.330374178776617,-0.725839569099414,-0.3482497044350729
1.607,0.16862332899726692,0.01818256822492556,0.30262906592170863,-0.5189037939385426,-0.07319797702561771
1.608,0.20064724032734516,0.027871754539048166,0.1293839392646584,-0.7670003100435769,0.17030226672081994
1.609,0.10925971711474085,-0.16908615416982428,0.2371546085961292,-0.41098775534595416,0.41336262026469617
1.61,0.011010284939481307,-0.12817166390452228,0.18694438840789085,-0.5617603192983537,0.5828613393472455
1.611,0.2769798348984516,-0.15242462087245418,0.3092557797975316,-0.586578138776626,0.41116464327892743
1.612,0.14556148721056328,-0.11276221408300507,0.10066841482755665,-0.6545874587880955,0.6606269697260503
1.613,0.1826771045757665,-0.21628771432462063,0.24066134211573112,-0.5532078951329569,0.32018265667021284
1.614,0.120699064840319,-0.21059946383156752,0.051317171541092915,-0.5244963129825433,0.20022416525916673
1.615,0.18186066228501863,-0.20154488162072048,-0.02686999910441533,-0.45144274828760966,0.13241444227948887
1.616,0.16435449785509265,-0.342463300246978,0.029750466899851054,-0.3720035616838536,-0.294074641659482
1.617,0.15305825529984504,-0.3030982188367496,-0.03727185752036698,-0.3077546026006675,-0.2618793365243088
1.618,0.12530039510003604,-0.29325839810925386,0.012612015601208636,-0.1385438003823709,-0.3885807285288527
1.619,0.05856045825132099,-0.22452848672333767,-0.1561290664392302,-0.13303149123640215,-0.38828841854354357
1.62,0.07873012208158894,-0.2847968218464954,-0.007233470927580143,0.29884205513564366,-0.33948961595332683
1.621,0.2657590649486694,-0.27279492478346296,-0.1741786321624197,0.08925024593786439,-0.32984619312276536
1.622,0.15381320410888027,-0.31013335061157377,0.026587680561815333,0.03445204226929477,-0.061197917932786616
1.623,-0.055164487361285805,-0.5086797876939392,-0.13866819833219574,0.3425210513822258,-0.2510710826572482
1.624,-0.057949705142497254,-0.323019743344852,-0.15006701545389586,0.2257412962361701,-0.05946699993098986
1.625,-0.020662208567275908,-0.3442541691230591,-0.24981511128794864,0.39962442734233716,-0.11270838010814656
1.626,0.07103900946070019,-0.4674904046042606,-0.19143714291096026,0.55511851128654,0.1765504964707615
1.627,0.027034845126750667,-0.31779519767153036,-0.13100425103982907,0.5872661447645231,0.07435091794903073
1.628,0.23726417510749426,-0.2726447162414045,-0.19605981467616987,0.5978323092862055,0.17830376446126037
1.629,0.11048175319471851,-0.38611753159336615,-0.3008616390613783,0.648362998441085,0.4111455025064533
1.63,0.16550804847959696,-0.4388645016181639,-0.2245710543365111,0.4868635022747666,0.5089896189873251
1.631,-0.029911286876942722,-0.4648915730475213,-0.37394631548606905,0.6404023670641328,0.547003562080885
1.632,-0.027395428995544355,-0.442537370346471,-0.29270554276783545,0.7545659345397516,0.41960815307934035
1.633,-0.038299643935429825,-0.4526398331901297,-0.21018081450296422,0.5600652339381845,0.3603022519777672
1.634,0.009247386477516245,-0.3473106053925017,-0.21104417128482647,0.4168743969982066,0.05806858653059643
1.635,0.16754538184485637,-0.3832152155454669,-0.326498118745821,0.27599515260711993,-0.12045568168742404
1.636,0.1668844641367912,-0.3426474052703218,-0.3568667694374402,0.44235543603552496,-0.5019667942643433
1.637,-0.018641534124007958,-0.5813211043990719,-0.37901312794918063,0.5296169018105369,-0.5182871375994094
1.638,0.19143715639631478,-0.43652083798029184,-0.30963305419964804,0.26664123067761225,-0.7001950075911305
1.639,0.038162108447011525,-0.47054189624522635,-0.32516620522350104,0.2518597971182689,-0.7107314007553002
1.64,0.10428849647227521,-0.4775334315345785,-0.4770380068072785,0.1504271621887541,-0.6231935963858205
1.641,0.27189363098168406,-0.47075448499520434,-0.404774944435636,-0.010219358341335527,-0.7688813458069432
1.642,0.09060837928828269,-0.3624714112699382,-0.29246599649866717,0.028735930471051024,-0.4924753866085534
1.643,0.11679906483243553,-0.5211308282824144,-0.415986547847301,0.16001257911660915,-0.20719919124975889
1.644,0.11543474184684473,-0.5113283343802163,-0.37992985504433935,0.05020639464537922,0.29097971299178527
1.645,0.014112491692883922,-0.24144488368537936,-0.36007412858446924,-0.1744939926984935,0.6651860873719779
1.646,0.042337172624711046,-0.3744471710638983,-0.405508272913369,-0.12568281626633365,0.8202962460715336
1.647,0.1839235548701052,-0.4603532323778213,-0.2770632443688788,-0.2973412885314265,0.6519674957475112
1.648,-0.07368523396315005,-0.5002079795597327,-0.18448006327080363,0.01367874979366826,0.6539955091237839
1.649,0.259556403633389,-0.3586103708949801,-0.4644503487445097,-0.2553934403049727,0.5242018806618188
1.65,0.08931463376422862,-0.20379213794523907,-0.4325525869923347,-0.211300841834418,0.21350371608306512
1.651,-0.13007122875622318,-0.3966703632962323,-0.3078305872215854,-0.2696601536328736,-0.09152201436634319
1.652,0.2540463165286947,-0.13769209923742542,-0.19529455627614517,-0.22983737062216392,-0.08240334694161833
1.653,0.2565482572284943,-0.45562643891342697,-0.32619000401379217,-0.3108396508070174,-0.3130703251724914
1.654,-5.3840005932989654e-05,-0.30686450559559353,-0.41045045901081767,-0.34523172353218057,-0.30910954628501935
1.655,0.18664373676508716,-0.2432144803599826,-0.246874258699465,-0.3328853048472016,-0.5381727067655209
1.656,0.01795418192011311,-0.29462647380301005,-0.42346887610466477,-0.2763606410314404,-0.4653373495035648
1.657,0.17918383349117628,-0.3115318187840778,-0.28753733269183956,-0.21216971060513368,-0.3582555948125954
1.658,0.014484776036653588,-0.34582721687886286,-0.35910279585902843,-0.44973738742782365,-0.3502637018091584
1.659,0.060895133667514506,-0.34322166625113876,-0.17672034499051223,-0.5415657089999234,-0.3735148168758724
1.66,0.04890792685157068,-0.3542870789048566,-0.11506747125821984,-0.41133706268596026,-0.355172059499933
1.661,0.12684388897254725,-0.33828567518601893,-0.03845015793653586,-0.5515642283398485,-0.28396604821561955
1.662,0.05005022207335634,-0.17365054941931768,-0.31761409329346535,-0.3743625029893127,-0.07625663333150706
1.663,0.1491977411681169,-0.23207265122028162,0.04892419612257026,-0.6386289009161531,0.04396357315843631
1.664,-0.05825331142965007,-0.24616141949786186,-0.12635787708132634,-0.3906242376116613,0.2704530454350474
1.665,0.05272823693042254,-0.2978104337303302,0.21338865118184197,-0.25547161549993586,0.5132423030884298
1.666,-0.06922370003485286,-0.2016628953410194,-0.10270817073951964,-0.25589372755063844,0.576821235732765
1.667,-0.09441734962575807,-0.09937689877481526,-0.0027726691725914014,-0.3500647038666459,0.7787295358010824
1.668,-0.06323563826887334,-0.23487310006750015,0.08533633788649417,-0.44506861633529526,0.7148727816522585
1.669,0.22271274186600995,-0.2118211978566977,0.06746802547638775,-0.3731912629811598,0.4072673969193688
1.67,0.10469139866675894,-0.2648693731078537,-0.04242851789646754,-0.1369243542366432,0.2368326285828804
1.671,0.04694818048313677,-0.08224814008147849,0.1360816194491985,0.06512058612113328,-0.259937805219114
1.672,-0.02166632416820903,0.02468237607663412,0.2204656955853902,-0.08110315050643098,-0.2640395974405361
1.673,0.028249625322622575,-0.15925508941928324,0.19735437476722206,-0.08552872240047635,-0.6653504422967793
1.674,0.13136514535734028,-0.061510575607052816,0.22024428855701564,0.20165748380790566,-0.7343373947033811
1.675,-0.03720815119097018,-0.14860906147170405,0.2120685385966783,-0.11514414062555028,-0.757136768278843
1.676,-0.11947993630307703,-0.12398250315908552,0.27436280985248784,0.10632351607137028,-0.6304632045565909
1.677,0.11343771235186761,0.025940638062441075,0.245119378427372,0.3689785142902915,-0.48110126935920644
1.678,0.09541134629066007,-0.02410452764152999,0.2370164996969493,0.27112270742425737,-0.17779225538893087
1.679,0.0656768315821785,-0.1578536435558252,0.31236704637827495,0.39586807762985693,0.04380322593837015
1.68,0.029572614030076758,-0.0920055778083743,0.29936364096464296,0.3590318874446097,0.49240405222206884
